Nombre,Categoria,Unidad (KG/L/UD),Precio,Merma (%),Alergenos (Separados por coma)
Jamón Serrano Pieza,Embutidos y curados/Jamón,KG,31.89,0,
Jamón Serrano 100 G,Embutidos y curados/Jamón,UD,21.11,0,
Jamón Serrano Taquitos,Embutidos y curados/Jamón,KG,29.71,0,
Jamón Serrano Tiras,Embutidos y curados/Jamón,KG,30.19,0,
Jamón Serrano Envasado Al Vacío,Embutidos y curados/Jamón,KG,22.09,0,
Jamón Serrano A Granel,Embutidos y curados/Jamón,KG,20.32,0,
Jamón Ibérico Pieza,Embutidos y curados/Jamón,KG,76.48,0,
Jamón Ibérico 100 G,Embutidos y curados/Jamón,UD,74.21,0,
Jamón Ibérico Taquitos,Embutidos y curados/Jamón,KG,115.05,0,
Jamón Ibérico Tiras,Embutidos y curados/Jamón,KG,114.31,0,
Jamón Ibérico Envasado Al Vacío,Embutidos y curados/Jamón,KG,104.61,0,
Jamón Ibérico A Granel,Embutidos y curados/Jamón,KG,72.99,0,
Chorizo Curado Pieza,Embutidos y curados/Chorizo,KG,15.78,2,
Chorizo Curado 100 G,Embutidos y curados/Chorizo,UD,10.71,2,
Chorizo Curado Taquitos,Embutidos y curados/Chorizo,KG,14.22,2,
Chorizo Curado Tiras,Embutidos y curados/Chorizo,KG,16.75,2,
Chorizo Curado Envasado Al Vacío,Embutidos y curados/Chorizo,KG,18.38,2,
Chorizo Curado A Granel,Embutidos y curados/Chorizo,KG,21.39,2,
Salchichón Pieza,Embutidos y curados/Salchichón,KG,11.1,2,
Salchichón 100 G,Embutidos y curados/Salchichón,UD,16.89,2,
Salchichón Taquitos,Embutidos y curados/Salchichón,KG,21.7,2,
Salchichón Tiras,Embutidos y curados/Salchichón,KG,17.33,2,
Salchichón Envasado Al Vacío,Embutidos y curados/Salchichón,KG,20.13,2,
Salchichón A Granel,Embutidos y curados/Salchichón,KG,20.63,2,
Lomo Embuchado Pieza,Embutidos y curados/Lomo,KG,20.4,2,
Lomo Embuchado 100 G,Embutidos y curados/Lomo,UD,35.96,2,
Lomo Embuchado Taquitos,Embutidos y curados/Lomo,KG,19.9,2,
Lomo Embuchado Tiras,Embutidos y curados/Lomo,KG,22.09,2,
Lomo Embuchado Envasado Al Vacío,Embutidos y curados/Lomo,KG,19.78,2,
Lomo Embuchado A Granel,Embutidos y curados/Lomo,KG,37.36,2,
Fuet Pieza,Embutidos y curados/Fuet,KG,22.41,2,
